CODFILIAL,CHAPA,NOME,FUNCAO,CNES,SECAO,DATAADMISSAO,SITUAÇÃO RM,HORÁRIO,MOTIVOADMISSAO,FILIAL,CARGAMENSAL,CARGASEMANAL,LICINICIO,LICFIM,STATUS,DATADEMISSAO
40,40000037,BRENDAN ROBINSON,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2016-04-04,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,,,Ativo,
40,40000038,PAOLO ROSENBLAD,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,HOSPITAL DIA PENHA,2016-07-18,Ativo,06:45 - 11:00 - 12:00 - 15:45 (SEG A SEX),REPOSIÇÃO DE VAGA,40-PENHA,200,40,,,Ativo,
40,40000039,DAVIN KILLBEY,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,AMA 24HS ENGENHEIRO GOULART - DR. JOSÉ PIRES,2016-04-01,Af.Previdência,19:00 - 01:00 - 02:00 - 07:00 (12X36),AUMENTO DE QUADRO,40-PENHA,180,36,2023-07-04,,Af.Previdência,
40,40000045,LYNETTE TOFANO,ENFERMEIRO,PERTENCE A EQUIPE MÍNIMA,HOSPITAL DIA PENHA,2016-07-18,Ativo,07:00 - 10:00 - 10:15 - 13:15 (SEG A DOM) - CONFORME ESCALA,REPOSIÇÃO DE VAGA,40-PENHA,180,36,,,Ativo,
40,40000048,GAILE UDALL,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,UBS JARDIM SÃO FRANCISCO,2016-04-01,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,,,Ativo,
40,40000056,JESSIKA ZUANAZZI,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,UBS PADRE MANOEL DA NÓBREGA,2009-03-19,Férias,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,2024-08-05,2024-09-03,Férias,
40,40000057,DOMINIQUE GRADWELL,ASSISTENTE SOCIAL,NÃO PERTENCE A EQUIPE MÍNIMA,UBS CANGAÍBA - DR. CARLOS GENTILE DE MELLO,2009-04-17,Ativo,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,150,30,2024-08-09,2024-08-13,Atestado,
40,40000060,RYCCA SAMPLE,ASSISTENTE ADMINISTRATIVO,NÃO PERTENCE A EQUIPE MÍNIMA,COORDENAÇÃO TÉCNICA ADMINISTRATIVA - SAS,2014-12-08,Ativo,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),REPOSIÇÃO DE VAGA,40-PENHA,200,40,,,Ativo,
40,40000069,MERLINA HORCHE,ENFERMEIRO ESF,PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2013-12-02,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-08-27,2024-08-31,Af.Previdência,
40,40000076,CONCORDIA GOTOBED,ASSISTENTE ADMINISTRATIVO,NÃO PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2010-07-12,Ativo,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,,,Ativo,
40,40000082,IVETTE BURRESS,ENFERMEIRO ESF,PERTENCE A EQUIPE MÍNIMA,UBS VILA GUILHERMINA - DR. AMERICO RASPA NETO,2011-03-16,Ativo,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),REPOSIÇÃO DE VAGA,40-PENHA,200,40,2024-08-21,2024-08-23,Af.Previdência,
40,40000084,BRANDEN ATTOC,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,CER PARQUE ARTHUR ALVIM,2009-04-17,Ativo,06:50 - 11:00 - 12:00 - 15:50 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,,,Ativo,
40,40000088,TRIS MIDFORD,GERENTE DE UNIDADE DE SAÚDE I,NÃO PERTENCE A EQUIPE MÍNIMA,CER III PENHA,2009-11-09,Aviso Prévio,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,2024-08-20,2024-09-18,Aviso Prévio,
40,40000092,ARLINDA ROSENTHAL,AGENTE COMUNITÁRIO DE SAÚDE,PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2016-03-09,Ativo,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-08-26,2024-08-26,Af.Previdência,
40,40000098,CHRISTAN WORLEDGE,TÉCNICO FARMÁCIA,NÃO PERTENCE A EQUIPE MÍNIMA,AMA CHÁCARA CRUZEIRO DO SUL,2016-03-14,Ativo,07:00 - 10:00 - 10:15 - 13:15 (SEG A SAB),AUMENTO DE QUADRO,40-PENHA,180,36,,,Ativo,
40,40000100,WALDEN CASTRO,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2016-03-01,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-08-20,2024-08-20,Atestado,
40,40000104,ASHLI HANNABY,TÉCNICO EM SAÚDE BUCAL,PERTENCE A EQUIPE MÍNIMA,UBS JARDIM SÃO FRANCISCO,2016-03-07,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-07-10,2024-08-08,Férias,
40,40000110,SIGISMONDO RAILTON,TÉCNICO EM SAÚDE BUCAL,PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2016-03-01,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-09-03,2024-09-03,Af.Previdência,
40,40000114,GERARDO WHELBAND,ENFERMEIRO,PERTENCE A EQUIPE MÍNIMA,AMA JARDIM NORDESTE - 24 HS,2016-04-01,Ativo,07:00 - 12:00 - 13:00 - 19:00 (12X36),ADMISSAO (NÃO UTILIZAR),40-PENHA,180,36,,,Ativo,
40,40000116,REMY LAYTHAM,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,AMA 24HS ENGENHEIRO GOULART - DR. JOSÉ PIRES,2016-08-01,Ativo,19:00 - 01:00 - 02:00 - 07:00 (12X36),REPOSIÇÃO DE VAGA,40-PENHA,180,36,2024-08-03,2024-08-04,Af.Previdência,
40,40000116,REMY LAYTHAM,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,AMA 24HS ENGENHEIRO GOULART - DR. JOSÉ PIRES,2016-08-01,Ativo,19:00 - 01:00 - 02:00 - 07:00 (12X36),REPOSIÇÃO DE VAGA,40-PENHA,180,36,2024-09-03,2024-09-03,Af.Previdência,
40,40000117,LETTY HAVILE,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,UBS DR. ANTONIO P. F. VILALLOBO,2016-04-01,Ativo,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-08-22,2024-08-23,Atestado,
40,40000122,GALVIN GREER,ENFERMEIRO ESF,PERTENCE A EQUIPE MÍNIMA,UBS DR. ANTONIO P. F. VILALLOBO,2016-04-04,Ativo,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,,,Ativo,
40,40000123,ELLISSA UDDEN,TÉCNICO EM SAÚDE BUCAL,PERTENCE A EQUIPE MÍNIMA,UBS DR. ANTONIO P. F. VILALLOBO,2016-04-04,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,2024-08-08,2024-08-08,Af.Previdência,
40,40000124,DEVLAND CONRADSEN,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,UBS DR. ANTONIO P. F. VILALLOBO,2016-04-04,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,,,Ativo,
40,40000128,SHIR HURDWELL,AGENTE COMUNITÁRIO DE SAÚDE,PERTENCE A EQUIPE MÍNIMA,UBS JARDIM SÃO FRANCISCO,2016-04-01,Ativo,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,2024-08-23,2024-08-23,Af.Previdência,
40,40000130,EAL GAVAN,ASSISTENTE ADMINISTRATIVO,NÃO PERTENCE A EQUIPE MÍNIMA,AMA CANGAÍBA - DR. CARLOS GENTILE DE MELLO,2013-02-04,Ativo,07:20 - 11:00 - 12:00 - 16:20 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,2024-08-26,2024-08-27,Af.Previdência,
40,40000134,BROOKE LADD,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,UBS CANGAÍBA - DR. CARLOS GENTILE DE MELLO,2016-03-07,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-08-01,2024-08-02,Atestado,
40,40000134,BROOKE LADD,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,UBS CANGAÍBA - DR. CARLOS GENTILE DE MELLO,2016-03-07,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-08-06,2024-08-06,Af.Previdência,
40,40000134,BROOKE LADD,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,UBS CANGAÍBA - DR. CARLOS GENTILE DE MELLO,2016-03-07,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-08-20,2024-08-20,Atestado,
40,40000134,BROOKE LADD,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,UBS CANGAÍBA - DR. CARLOS GENTILE DE MELLO,2016-03-07,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-08-21,2024-08-21,Atestado,
40,40000134,BROOKE LADD,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,UBS CANGAÍBA - DR. CARLOS GENTILE DE MELLO,2016-03-07,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-09-03,2024-09-03,Af.Previdência,
40,40000140,DIANA GILBARD,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,HOSPITAL DIA PENHA,2014-05-05,Ativo,12:45 - 16:00 - 16:15 - 19:00 (SEG A DOM) CONFORME ESCALA,REPOSIÇÃO DE VAGA,40-PENHA,180,36,2024-07-17,2024-08-15,Férias,
40,40000153,DONNA WOODFORD,TÉCNICO FARMÁCIA,NÃO PERTENCE A EQUIPE MÍNIMA,UBS VILA ESPERANÇA - DR. CASSIO BITTENCOURT FILHO,2016-03-01,Ativo,09:00 - 13:00 - 14:00 - 18:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,,,Ativo,
40,40000156,MEG LEOPARD,ASSISTENTE SOCIAL,PERTENCE A EQUIPE MÍNIMA,UBS VILA MATILDE,2016-03-01,Ativo,08:00 - 10:00 - 10:15 - 14:15 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,150,30,2024-08-05,2024-08-19,Férias,
40,40000158,ORALIE CORRYER,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,CAPS ALCOOL E DROGAS II CANGAIBA,2009-03-18,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,,,Ativo,
40,40000161,JOSEPH NEWNS,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,UBS CANGAÍBA - DR. CARLOS GENTILE DE MELLO,2015-12-07,Ativo,09:00 - 13:00 - 14:00 - 18:00 (SEG A SEX),COBERTURA DE AFASTADO,40-PENHA,200,40,2024-08-05,2024-08-06,Atestado,
40,40000162,SIMONNE CONDUIT,ASSISTENTE ADMINISTRATIVO,NÃO PERTENCE A EQUIPE MÍNIMA,AMA PADRE MANOEL DA NÓBREGA,2013-08-05,Ativo,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-08-12,2024-08-14,Atestado,
40,40000163,ODILIA DASSINDALE,ASSISTENTE ADMINISTRATIVO,NÃO PERTENCE A EQUIPE MÍNIMA,AMA VILA SILVIA,2009-03-17,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,2024-08-12,2024-08-12,Atestado,
40,40000163,ODILIA DASSINDALE,ASSISTENTE ADMINISTRATIVO,NÃO PERTENCE A EQUIPE MÍNIMA,AMA VILA SILVIA,2009-03-17,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,2024-08-19,2024-08-19,Af.Previdência,
40,40000163,ODILIA DASSINDALE,ASSISTENTE ADMINISTRATIVO,NÃO PERTENCE A EQUIPE MÍNIMA,AMA VILA SILVIA,2009-03-17,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,2024-08-21,2024-08-23,Af.Previdência,
40,40000163,ODILIA DASSINDALE,ASSISTENTE ADMINISTRATIVO,NÃO PERTENCE A EQUIPE MÍNIMA,AMA VILA SILVIA,2009-03-17,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,2024-08-26,2024-08-27,Atestado,
40,40000174,HEWIE RIDING,AUXILIAR DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,UBS PADRE MANOEL DA NÓBREGA,2009-09-21,Ativo,07:00 - 10:00 - 10:15 - 13:15 (SEG A SAB),ADMISSAO (NÃO UTILIZAR),40-PENHA,180,36,2024-08-05,2024-08-19,Férias,
40,40000174,HEWIE RIDING,AUXILIAR DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,UBS PADRE MANOEL DA NÓBREGA,2009-09-21,Ativo,07:00 - 10:00 - 10:15 - 13:15 (SEG A SAB),ADMISSAO (NÃO UTILIZAR),40-PENHA,180,36,2024-09-04,2024-09-04,Af.Previdência,
40,40000182,LINC MCNEA,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,UBS A. E. DE CARVALHO,2016-03-01,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,,,Ativo,
40,40000185,ERICKA LOCKHART,AUXILIAR DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,UBS PADRE MANOEL DA NÓBREGA,2016-03-01,Ativo,13:00 - 16:00 - 16:15 - 19:15   (SEG A SAB),AUMENTO DE QUADRO,40-PENHA,180,36,,,Ativo,
40,40000187,BROD PRIOR,FARMACÊUTICO,NÃO PERTENCE A EQUIPE MÍNIMA,UBS VILA ESPERANÇA - DR. CASSIO BITTENCOURT FILHO,2016-03-01,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,,,Ativo,
40,40000204,ZORANA TOBIAS,AGENTE COMUNITÁRIO DE SAÚDE,PERTENCE A EQUIPE MÍNIMA,UBS VILA GUILHERMINA - DR. AMERICO RASPA NETO,2009-07-20,Férias,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,2024-08-05,2024-09-03,Férias,
40,40000213,JILLENE DE FRANCISCI,GERENTE DE UNIDADE DE SAÚDE I,NÃO PERTENCE A EQUIPE MÍNIMA,UBS VILA MATILDE,2009-01-05,Ativo,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,2024-07-22,2024-08-05,Férias,
40,40000214,BRENDON MCASTER,GERENTE DE UNIDADE DE SAÚDE I,NÃO PERTENCE A EQUIPE MÍNIMA,UBS PARQUE ARTHUR ALVIM,2008-10-15,Ativo,08:00 - 12:00 - 13:00 - 17:00  (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,,,Ativo,
40,40000231,ANA CARDENAS,AUXILIAR DE SAÚDE BUCAL,PERTENCE A EQUIPE MÍNIMA,UBS CIDADE PATRIARCA,2015-11-03,Ativo,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),REPOSIÇÃO DE VAGA,40-PENHA,150,30,2024-08-12,2024-08-31,Férias,
40,40000249,JEREMIAH ZIEHMS,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,HOSPITAL DIA PENHA,2016-04-01,Ativo,13:00 - 16:00 - 16:15 - 19:15 (SEG A DOM) CONFORME ESCALA,ADMISSAO (NÃO UTILIZAR),40-PENHA,180,36,2024-08-23,2024-08-24,Atestado,
40,40000249,JEREMIAH ZIEHMS,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,HOSPITAL DIA PENHA,2016-04-01,Ativo,13:00 - 16:00 - 16:15 - 19:15 (SEG A DOM) CONFORME ESCALA,ADMISSAO (NÃO UTILIZAR),40-PENHA,180,36,2024-08-26,2024-08-26,Af.Previdência,
40,40000249,JEREMIAH ZIEHMS,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,HOSPITAL DIA PENHA,2016-04-01,Ativo,13:00 - 16:00 - 16:15 - 19:15 (SEG A DOM) CONFORME ESCALA,ADMISSAO (NÃO UTILIZAR),40-PENHA,180,36,2024-09-02,2024-09-02,Af.Previdência,
40,40000251,JOLEE FURNEAUX,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,UBS DR. ANTONIO P. F. VILALLOBO,2016-04-01,Ativo,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-07-31,2024-08-09,Férias,
40,40000251,JOLEE FURNEAUX,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,UBS DR. ANTONIO P. F. VILALLOBO,2016-04-01,Ativo,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-09-01,2024-09-14,Af.Previdência,
40,40000256,MIN TALLOWIN,ASSISTENTE SOCIAL,PERTENCE A EQUIPE MÍNIMA,UBS DR. ANTONIO P. F. VILALLOBO,2016-04-04,Ativo,09:00 - 11:15 - 11:30 - 15:15 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,150,30,,,Ativo,
40,40000258,LINNET BOLDOCK,FARMACÊUTICO,PERTENCE A EQUIPE MÍNIMA,UBS JARDIM SÃO FRANCISCO,2016-04-01,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,,,Ativo,
40,40000261,DENI RAPPAPORT,ASSISTENTE SOCIAL,NÃO PERTENCE A EQUIPE MÍNIMA,AMA JARDIM NORDESTE - 24 HS,2016-04-01,Ativo,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,150,30,,,Ativo,
40,40000262,BERKY MACCALLION,AUXILIAR ADMINISTRATIVO II,NÃO PERTENCE A EQUIPE MÍNIMA,UBS DR. ANTONIO P. F. VILALLOBO,2016-04-04,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),ADMISSAO (NÃO UTILIZAR),40-PENHA,200,40,2024-08-16,2024-08-16,Atestado,
40,40000265,REYNA BAILES,FISIOTERAPEUTA,PERTENCE A EQUIPE MÍNIMA,UBS VILA ARICANDUVA,2016-08-01,Ativo,08:00 - 12:00  (SEG A SEX),REPOSIÇÃO DE VAGA,40-PENHA,100,20,,,Ativo,
40,40000271,SHERWIN MOMPESSON,MÉDICO GENERALISTA,PERTENCE A EQUIPE MÍNIMA,UBS DR. ANTONIO P. F. VILALLOBO,2016-04-05,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-08-17,2024-08-21,Atestado,
40,40000272,LY RASTRICK,MÉDICO OFTALMOLOGISTA - HC,PERTENCE A EQUIPE MÍNIMA,HOSPITAL DIA PENHA,2016-04-12,Ativo,07:40 - 12:00 - 13:00 - 16:40 (TER),AUMENTO DE QUADRO,40-PENHA,40,8,,,Ativo,
40,40000274,ISRAEL HINDGE,TÉCNICO DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,UBS DR. ANTONIO P. F. VILALLOBO,2016-04-11,Ativo,10:00 - 12:00 - 13:00 - 19:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-08-12,2024-08-21,Férias,
40,40000276,HALSEY LOUGHNAN,SUPERVISOR DE ENFERMAGEM,NÃO PERTENCE A EQUIPE MÍNIMA,AMA JARDIM NORDESTE - 24 HS,2016-04-07,Ativo,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),AUMENTO DE QUADRO,40-PENHA,200,40,2024-08-01,2024-08-01,Af.Previdência,
40,40000277,SIDONEY MCCRAY,GERENTE DE UNIDADE DE SAÚDE II,NÃO PERTENCE A EQUIPE MÍNIMA,AMA JARDIM NORDESTE - 24 HS,2013-10-14,Ativo,09:00 - 13:00 - 14:00 - 18:00 (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,,,Ativo,
40,40000278,FERD WILMUT,FARMACÊUTICO,PERTENCE A EQUIPE MÍNIMA,AMA JARDIM NORDESTE - 24 HS,2011-10-10,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,2024-08-01,2024-08-02,Atestado,
40,40000278,FERD WILMUT,FARMACÊUTICO,PERTENCE A EQUIPE MÍNIMA,AMA JARDIM NORDESTE - 24 HS,2011-10-10,Ativo,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),TRANSFERÊNCIA,40-PENHA,200,40,2024-08-19,2024-08-20,Af.Previdência,
