rel_2141_CNES,rel_2141_UNIDADE,rel_2141_NOME,rel_2141_CARGO,rel_2141_DT_ADMISSAO,rel_2141_DT_DEMISSAO,rel_2141_prof_ID,rel_2141_HORARIO,rel_2141_JORNADA,rel_2141_STATUS,LEGAL_ABSENCES
2786753,UBS DR. ANTONIO P. F. VILALLOBO,LETTY HAVILE,TECNICO DE ENFERMAGEM,2016-04-01,,40000117,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,Atestado: 22/08/2024 a 23/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,GALVIN GREER,ENFERMEIRO ESF,2016-04-04,,40000122,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,ELLISSA UDDEN,TECNICO EM SAUDE BUCAL,2016-04-04,,40000123,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 08/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,DEVLAND CONRADSEN,AUXILIAR ADMINISTRATIVO,2016-04-04,,40000124,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,
2787776,UBS JARDIM SAO FRANCISCO,SHIR HURDWELL,AGENTE COMUNITARIO DE SAUDE,2016-04-01,,40000128,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Atestado: 23/08/2024
2752204,AMA CANGAIBA - DR. CARLOS GENTILE DE MELLO,EAL GAVAN,ASSISTENTE ADMINISTRATIVO,2013-02-04,,40000130,07:20 - 11:00 - 12:00 - 16:20 (SEG A SEX),40,Ativo,Atestado: 26/08/2024 a 27/08/2024
2752204,UBS CANGAIBA - DR. CARLOS GENTILE DE MELLO,BROOKE LADD,AUXILIAR ADMINISTRATIVO,2016-03-07,,40000134,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,Atestado: 01/08/2024 a 02/08/2024 | Atestado: 06/08/2024 | Atestado: 20/08/2024 a 21/08/2024 | Atestado: 03/09/2024
2751933,HOSPITAL DIA PENHA,DIANA GILBARD,TECNICO DE ENFERMAGEM,2014-05-05,,40000140,12:45 - 16:00 - 16:15 - 19:00 (SEG A DOM) CONFORME ESCALA,36,Ativo,Férias: 17/07/2024 a 15/08/2024
2788861,UBS VILA ESPERANCA - DR. CASSIO BITTENCOURT FILHO,DONNA WOODFORD,TECNICO FARMACIA,2016-03-01,,40000153,09:00 - 13:00 - 14:00 - 18:00 (SEG A SEX),40,Ativo,
2789043,UBS VILA MATILDE,MEG LEOPARD,ASSISTENTE SOCIAL,2016-03-01,,40000156,08:00 - 10:00 - 10:15 - 14:15 (SEG A SEX),30,Ativo,Férias: 05/08/2024 a 19/08/2024
9688463,CAPS ALCOOL E DROGAS II CANGAIBA,ORALIE CORRYER,AUXILIAR ADMINISTRATIVO,2009-03-18,,40000158,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,
2752204,UBS CANGAIBA - DR. CARLOS GENTILE DE MELLO,JOSEPH NEWNS,AUXILIAR ADMINISTRATIVO,2015-12-07,,40000161,09:00 - 13:00 - 14:00 - 18:00 (SEG A SEX),40,Ativo,Atestado: 05/08/2024 a 06/08/2024
2027070,AMA PADRE MANOEL DA NOBREGA,SIMONNE CONDUIT,ASSISTENTE ADMINISTRATIVO,2013-08-05,,40000162,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Atestado: 12/08/2024 a 14/08/2024
6592899,AMA VILA SILVIA,ODILIA DASSINDALE,ASSISTENTE ADMINISTRATIVO,2009-03-17,,40000163,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 12/08/2024 | Atestado: 19/08/2024 | Atestado: 21/08/2024 a 23/08/2024 | Atestado: 26/08/2024 a 27/08/2024
2027070,UBS PADRE MANOEL DA NOBREGA,HEWIE RIDING,AUXILIAR DE ENFERMAGEM,2009-09-21,,40000174,07:00 - 10:00 - 10:15 - 13:15 (SEG A SAB),36,Ativo,Férias: 05/08/2024 a 19/08/2024 | Atestado: 04/09/2024
2786729,UBS A. E. DE CARVALHO,LINC MCNEA,TECNICO DE ENFERMAGEM,2016-03-01,,40000182,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,
2027070,UBS PADRE MANOEL DA NOBREGA,ERICKA LOCKHART,AUXILIAR DE ENFERMAGEM,2016-03-01,,40000185,13:00 - 16:00 - 16:15 - 19:15 (SEG A SAB),36,Ativo,
2788861,UBS VILA ESPERANCA - DR. CASSIO BITTENCOURT FILHO,BROD PRIOR,FARMACEUTICO,2016-03-01,,40000187,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,
2788969,UBS VILA GUILHERMINA - DR. AMERICO RASPA NETO,ZORANA TOBIAS,AGENTE COMUNITARIO DE SAUDE,2009-07-20,,40000204,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Férias: 05/08/2024 a 03/09/2024
2789043,UBS VILA MATILDE,JILLENE DE FRANCISCI,GERENTE DE UNIDADE DE SAUDE,2009-01-05,,40000213,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Férias: 22/07/2024 a 05/08/2024
2752328,UBS PARQUE ARTHUR ALVIM,BRENDON MCASTER,GERENTE DE UNIDADE DE SAUDE,2008-10-15,,40000214,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2786923,UBS CIDADE PATRIARCA,ANA CARDENAS,AUXILIAR DE SAUDE BUCAL,2015-11-03,,40000231,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),30,Ativo,Férias: 12/08/2024 a 31/08/2024
2751933,HOSPITAL DIA PENHA,JEREMIAH ZIEHMS,TECNICO DE ENFERMAGEM,2016-04-01,,40000249,13:00 - 16:00 - 16:15 - 19:15 (SEG A DOM) CONFORME ESCALA,36,Ativo,Atestado: 23/08/2024 a 24/08/2024 | Atestado: 26/08/2024 | Atestado: 02/09/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,JOLEE FURNEAUX,TECNICO DE ENFERMAGEM,2016-04-01,,40000251,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,Férias: 31/07/2024 a 09/08/2024 | Atestado: 01/09/2024 a 14/09/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,MIN TALLOWIN,ASSISTENTE SOCIAL,2016-04-04,,40000256,09:00 - 11:15 - 11:30 - 15:15 (SEG A SEX),30,Ativo,
2787776,UBS JARDIM SAO FRANCISCO,LINNET BOLDOCK,FARMACEUTICO,2016-04-01,,40000258,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,
2042827,AMA JARDIM NORDESTE - 24 HS,DENI RAPPAPORT,ASSISTENTE SOCIAL,2016-04-01,,40000261,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),30,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,BERKY MACCALLION,AUXILIAR ADMINISTRATIVO,2016-04-04,,40000262,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 16/08/2024
2788721,UBS VILA ARICANDUVA,REYNA BAILES,FISIOTERAPEUTA,2016-08-01,,40000265,08:00 - 12:00 (SEG A SEX),20,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,SHERWIN MOMPESSON,MEDICO GENERALISTA,2016-04-05,,40000271,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 17/08/2024 a 21/08/2024
2751933,HOSPITAL DIA PENHA,LY RASTRICK,MEDICO OFTALMOLOGISTA,2016-04-12,,40000272,07:40 - 12:00 - 13:00 - 16:40 (TER),8,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,ISRAEL HINDGE,TECNICO DE ENFERMAGEM,2016-04-11,,40000274,10:00 - 12:00 - 13:00 - 19:00 (SEG A SEX),40,Ativo,Férias: 12/08/2024 a 21/08/2024
2042827,AMA JARDIM NORDESTE - 24 HS,HALSEY LOUGHNAN,SUPERVISOR DE ENFERMAGEM,2016-04-07,,40000276,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,Atestado: 01/08/2024
2042827,AMA JARDIM NORDESTE - 24 HS,SIDONEY MCCRAY,GERENTE DE UNIDADE DE SAUDE,2013-10-14,,40000277,09:00 - 13:00 - 14:00 - 18:00 (SEG A SEX),40,Ativo,
2042827,AMA JARDIM NORDESTE - 24 HS,FERD WILMUT,FARMACEUTICO,2011-10-10,,40000278,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 01/08/2024 a 02/08/2024 | Atestado: 19/08/2024 a 20/08/2024
2787776,UBS JARDIM SAO FRANCISCO,JEWEL JACMAR,AGENTE COMUNITARIO DE SAUDE,2012-06-05,,40000283,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2787776,UBS JARDIM SAO FRANCISCO,VELMA BYAS,AGENTE COMUNITARIO DE SAUDE,2011-04-11,,40000287,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Atestado: 05/08/2024 a 09/08/2024 | Atestado: 19/08/2024 a 23/08/2024 | Atestado: 29/08/2024
2787776,UBS JARDIM SAO FRANCISCO,BERNADENE SHINGLER,AGENTE COMUNITARIO DE SAUDE,2014-08-04,,40000290,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2787776,UBS JARDIM SAO FRANCISCO,CHANCE FOSSETT,AUXILIAR ADMINISTRATIVO,2009-08-03,,40000291,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,
2787776,UBS JARDIM SAO FRANCISCO,MUREIL BAINBRIDGE,AGENTE COMUNITARIO DE SAUDE,2011-06-01,,40000292,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2787776,UBS JARDIM SAO FRANCISCO,LEIA BEEHO,AGENTE COMUNITARIO DE SAUDE,2012-07-24,,40000294,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Atestado: 05/08/2024 a 09/08/2024 | Férias: 26/08/2024 a 24/09/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,KELSI TRENEMAN,AGENTE COMUNITARIO DE SAUDE,2001-09-01,,40000311,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Atestado: 27/08/2024 a 28/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,SILVIA LEVINS,AGENTE COMUNITARIO DE SAUDE,2005-01-19,,40000312,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2788861,UBS VILA ESPERANCA - DR. CASSIO BITTENCOURT FILHO,DWAIN COMBER,TECNICO EM SAUDE BUCAL,2013-05-16,,40000313,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 15/08/2024 a 16/08/2024 | Atestado: 28/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,LARI ROME,AGENTE COMUNITARIO DE SAUDE,2005-01-19,,40000314,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,VERINE DEHN,AGENTE COMUNITARIO DE SAUDE,2001-09-01,,40000315,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,AURELIE CHESTNEY,AGENTE COMUNITARIO DE SAUDE,2013-05-21,,40000316,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Férias: 15/07/2024 a 13/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,ALEXA YERRINGTON,AGENTE COMUNITARIO DE SAUDE,2011-08-04,,40000318,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Atestado: 27/08/2024 a 31/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,HEWIE SMEALL,AGENTE COMUNITARIO DE SAUDE,2001-09-01,,40000319,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Af.Previdência,Af.Previdência: A partir de 09/08/2021
2786753,UBS DR. ANTONIO P. F. VILALLOBO,TONIE DEEKS,AGENTE COMUNITARIO DE SAUDE,2007-08-06,,40000320,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,CARLA FARNISH,AGENTE COMUNITARIO DE SAUDE,2013-05-16,,40000321,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Férias: 29/07/2024 a 07/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,SILE SCHWANDERMANN,AGENTE COMUNITARIO DE SAUDE,2002-11-25,,40000322,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Atestado: 11/08/2024 a 17/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,FIN BRAND-HARDY,AGENTE COMUNITARIO DE SAUDE,2015-04-01,,40000323,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,WELBIE MATTAM,AGENTE COMUNITARIO DE SAUDE,2001-09-01,,40000324,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,ADOLPH TERREN,AGENTE COMUNITARIO DE SAUDE,2013-05-16,,40000325,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 27/08/2024 a 28/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,FAUSTINE BRYNING,AGENTE COMUNITARIO DE SAUDE,2003-02-03,,40000326,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 19/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,BRIT CLEMENZI,AGENTE COMUNITARIO DE SAUDE,2009-02-03,,40000328,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,IONA WALSTOW,AGENTE COMUNITARIO DE SAUDE,2013-05-16,,40000329,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Atestado: 19/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,LORAINE ARBLASTER,AGENTE COMUNITARIO DE SAUDE,2014-12-08,,40000330,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,Férias: 07/08/2024 a 05/09/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,LILLLIE LANDREAN,AGENTE COMUNITARIO DE SAUDE,2002-11-25,,40000331,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,PAGE LEWTON,AGENTE COMUNITARIO DE SAUDE,2005-06-20,,40000333,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,ROSEANNA JODDINS,TECNICO FARMACIA,2009-04-08,,40000335,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,CALV WYELD,TECNICO DE ENFERMAGEM,2008-10-09,,40000337,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,PET MCPHELIM,TECNICO DE ENFERMAGEM,2015-11-09,,40000338,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,MACKENZIE ALSTON,ENFERMEIRO ESF,2008-08-05,,40000340,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 08/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,MIGUEL CRAIK,ENFERMEIRO ESF,2008-11-24,,40000341,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Af.Previdência,Af.Previdência: A partir de 08/07/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,ANABELLA DE LA COTE,DENTISTA CLINICO,2013-03-05,,40000343,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,PRIS DEVIGNE,MEDICO GENERALISTA,2013-09-05,,40000344,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 01/08/2024 a 07/08/2024 | Atestado: 09/08/2024 a 16/08/2024 | Atestado: 23/08/2024 | Atestado: 27/08/2024 a 30/08/2024
2786753,UBS DR. ANTONIO P. F. VILALLOBO,BAXY GAUTREY,MEDICO GENERALISTA,2011-07-11,,40000345,SEG A QUI - 08:00 12:00 13:00 19:00,40,Ativo,Férias: 31/07/2024 a 29/08/2024 | Atestado: 02/09/2024 a 03/09/2024
2042827,AMA JARDIM NORDESTE - 24 HS,ELBERTINA HEARST,ASSISTENTE ADMINISTRATIVO,2010-10-05,,40000347,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,
2042827,AMA JARDIM NORDESTE - 24 HS,BELLE GREGORACI,SUPERVISOR ADMINISTRATIVO,2009-06-05,,40000348,12:00 - 16:00 - 17:00 - 21:00 (SEG. A SEX.),40,Ativo,
2786753,UBS DR. ANTONIO P. F. VILALLOBO,GRACIA CHRSTINE,TECNICO DE ENFERMAGEM,2009-06-18,,40000359,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,
2042827,AMA JARDIM NORDESTE - 24 HS,ZACH CICCOTTIO,TECNICO FARMACIA,2013-09-09,,40000365,07:00 - 12:00 - 13:00 - 19:00 (12X36),36,Ativo,
2042827,AMA JARDIM NORDESTE - 24 HS,CONNEY SMIDMORE,TECNICO FARMACIA,2015-10-13,,40000366,07:00 - 12:00 - 13:00 - 19:00 (12X36),36,Ativo,
2788861,UBS VILA ESPERANCA - DR. CASSIO BITTENCOURT FILHO,RUBIE PALATINI,TECNICO DE ENFERMAGEM,2010-06-21,,40000368,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,Atestado: 15/08/2024
2788926,UBS VILA GRANADA - DR. ALFREDO FERREIRA PAULINO FILHO P.A.I,EDUARDO WILLSHEAR,COORDENADOR DE EQUIPE DE SAUDE,2016-04-01,,40000371,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,
2788926,EMAD VILA GRANADA,CAMMY CONNICK,ENFERMEIRO,2014-08-18,,40000373,07:30 - 12:00 - 13:00 - 16:30 (SEG A SEX),40,Ativo,
2788926,EMAD VILA GRANADA,SIMEON DUCKINFIELD,FISIOTERAPEUTA,2015-11-23,,40000375,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),30,Ativo,
7270941,EMAD / EMAP JARDIM MARINGA,BRIANT DEBLE,PSICOLOGO,2010-02-02,,40000377,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,
2752204,EMAD CANGAIBA - DR. CARLOS GENTILE DE MELLO,ILYSE PUTTOCK,AUXILIAR DE ENFERMAGEM,2012-10-15,,40000380,12:45 - 16:00 - 16:15 - 19:00 (SEG A SEX),30,Ativo,
2786729,UBS A. E. DE CARVALHO,GIAVANI FRANCESCOZZI,TECNICO DE ENFERMAGEM,2015-11-23,,40000381,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,
2752204,EMAD CANGAIBA - DR. CARLOS GENTILE DE MELLO,BARRET MOUGEL,ENFERMEIRO,2009-12-04,,40000383,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,
7270941,EMAD / EMAP JARDIM MARINGA,RASIA KEILLOH,AUXILIAR DE ENFERMAGEM,2015-06-01,,40000384,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),30,Ativo,
7270941,EMAD / EMAP JARDIM MARINGA,EVYN DENNEHY,AUXILIAR DE ENFERMAGEM,2012-05-07,,40000387,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),30,Ativo,
