rel_2141_CNES,rel_2141_UNIDADE,rel_2141_NOME,rel_2141_CARGO,rel_2141_DT_ADMISSAO,rel_2141_DT_DEMISSAO,rel_2141_prof_ID,rel_2141_HORARIO,rel_2141_JORNADA,rel_2141_STATUS,rel_2141_LICINICIO,rel_2141_LICFIM,rel_2141_AUSENCIA
2789043,UBS VILA MATILDE,MEG LEOPARD,ASSISTENTE SOCIAL,2016-03-01,,40000156,08:00 - 10:00 - 10:15 - 14:15 (SEG A SEX),30,Ativo,2024-08-05,2024-08-19,Férias
2752204,UBS CANGAIBA - DR. CARLOS GENTILE DE MELLO,JOSEPH NEWNS,AUXILIAR ADMINISTRATIVO,2015-12-07,,40000161,09:00 - 13:00 - 14:00 - 18:00 (SEG A SEX),40,Ativo,2024-08-05,2024-08-06,Atestado
2027070,AMA PADRE MANOEL DA NOBREGA,SIMONNE CONDUIT,ASSISTENTE ADMINISTRATIVO,2013-08-05,,40000162,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-12,2024-08-14,Atestado
6592899,AMA VILA SILVIA,ODILIA DASSINDALE,ASSISTENTE ADMINISTRATIVO,2009-03-17,,40000163,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-12,2024-08-12,Atestado
6592899,AMA VILA SILVIA,ODILIA DASSINDALE,ASSISTENTE ADMINISTRATIVO,2009-03-17,,40000163,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-19,2024-08-19,Atestado
6592899,AMA VILA SILVIA,ODILIA DASSINDALE,ASSISTENTE ADMINISTRATIVO,2009-03-17,,40000163,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-21,2024-08-23,Atestado
6592899,AMA VILA SILVIA,ODILIA DASSINDALE,ASSISTENTE ADMINISTRATIVO,2009-03-17,,40000163,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-26,2024-08-27,Atestado
2027070,UBS PADRE MANOEL DA NOBREGA,HEWIE RIDING,AUXILIAR DE ENFERMAGEM,2009-09-21,,40000174,07:00 - 10:00 - 10:15 - 13:15 (SEG A SAB),36,Ativo,2024-08-05,2024-08-19,Férias
2027070,UBS PADRE MANOEL DA NOBREGA,HEWIE RIDING,AUXILIAR DE ENFERMAGEM,2009-09-21,,40000174,07:00 - 10:00 - 10:15 - 13:15 (SEG A SAB),36,Ativo,2024-09-04,2024-09-04,Atestado
2788969,UBS VILA GUILHERMINA - DR. AMERICO RASPA NETO,ZORANA TOBIAS,AGENTE COMUNITARIO DE SAUDE,2009-07-20,,40000204,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-05,2024-09-03,Férias
2789043,UBS VILA MATILDE,JILLENE DE FRANCISCI,GERENTE DE UNIDADE DE SAUDE,2009-01-05,,40000213,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-07-22,2024-08-05,Férias
2786923,UBS CIDADE PATRIARCA,ANA CARDENAS,AUXILIAR DE SAUDE BUCAL,2015-11-03,,40000231,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),30,Ativo,2024-08-12,2024-08-31,Férias
2751933,HOSPITAL DIA PENHA,JEREMIAH ZIEHMS,TECNICO DE ENFERMAGEM,2016-04-01,,40000249,13:00 - 16:00 - 16:15 - 19:15 (SEG A DOM) CONFORME ESCALA,36,Ativo,2024-08-23,2024-08-24,Atestado
2751933,HOSPITAL DIA PENHA,JEREMIAH ZIEHMS,TECNICO DE ENFERMAGEM,2016-04-01,,40000249,13:00 - 16:00 - 16:15 - 19:15 (SEG A DOM) CONFORME ESCALA,36,Ativo,2024-08-26,2024-08-26,Atestado
2751933,HOSPITAL DIA PENHA,JEREMIAH ZIEHMS,TECNICO DE ENFERMAGEM,2016-04-01,,40000249,13:00 - 16:00 - 16:15 - 19:15 (SEG A DOM) CONFORME ESCALA,36,Ativo,2024-09-02,2024-09-02,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,JOLEE FURNEAUX,TECNICO DE ENFERMAGEM,2016-04-01,,40000251,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,2024-07-31,2024-08-09,Férias
2786753,UBS DR. ANTONIO P. F. VILALLOBO,JOLEE FURNEAUX,TECNICO DE ENFERMAGEM,2016-04-01,,40000251,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,2024-09-01,2024-09-14,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,BERKY MACCALLION,AUXILIAR ADMINISTRATIVO,2016-04-04,,40000262,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-16,2024-08-16,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,SHERWIN MOMPESSON,MEDICO GENERALISTA,2016-04-05,,40000271,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-17,2024-08-21,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,ISRAEL HINDGE,TECNICO DE ENFERMAGEM,2016-04-11,,40000274,10:00 - 12:00 - 13:00 - 19:00 (SEG A SEX),40,Ativo,2024-08-12,2024-08-21,Férias
2042827,AMA JARDIM NORDESTE - 24 HS,HALSEY LOUGHNAN,SUPERVISOR DE ENFERMAGEM,2016-04-07,,40000276,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-08-01,2024-08-01,Atestado
2042827,AMA JARDIM NORDESTE - 24 HS,FERD WILMUT,FARMACEUTICO,2011-10-10,,40000278,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-01,2024-08-02,Atestado
2042827,AMA JARDIM NORDESTE - 24 HS,FERD WILMUT,FARMACEUTICO,2011-10-10,,40000278,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-19,2024-08-20,Atestado
2787776,UBS JARDIM SAO FRANCISCO,VELMA BYAS,AGENTE COMUNITARIO DE SAUDE,2011-04-11,,40000287,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-05,2024-08-05,Atestado
2787776,UBS JARDIM SAO FRANCISCO,VELMA BYAS,AGENTE COMUNITARIO DE SAUDE,2011-04-11,,40000287,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-06,2024-08-09,Atestado
2787776,UBS JARDIM SAO FRANCISCO,VELMA BYAS,AGENTE COMUNITARIO DE SAUDE,2011-04-11,,40000287,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-19,2024-08-23,Atestado
2787776,UBS JARDIM SAO FRANCISCO,VELMA BYAS,AGENTE COMUNITARIO DE SAUDE,2011-04-11,,40000287,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-29,2024-08-29,Atestado
2787776,UBS JARDIM SAO FRANCISCO,LEIA BEEHO,AGENTE COMUNITARIO DE SAUDE,2012-07-24,,40000294,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-05,2024-08-09,Atestado
2787776,UBS JARDIM SAO FRANCISCO,LEIA BEEHO,AGENTE COMUNITARIO DE SAUDE,2012-07-24,,40000294,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-26,2024-09-24,Férias
2786753,UBS DR. ANTONIO P. F. VILALLOBO,KELSI TRENEMAN,AGENTE COMUNITARIO DE SAUDE,2001-09-01,,40000311,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-27,2024-08-28,Atestado
2788861,UBS VILA ESPERANCA - DR. CASSIO BITTENCOURT FILHO,DWAIN COMBER,TECNICO EM SAUDE BUCAL,2013-05-16,,40000313,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-15,2024-08-16,Atestado
2788861,UBS VILA ESPERANCA - DR. CASSIO BITTENCOURT FILHO,DWAIN COMBER,TECNICO EM SAUDE BUCAL,2013-05-16,,40000313,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-28,2024-08-28,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,AURELIE CHESTNEY,AGENTE COMUNITARIO DE SAUDE,2013-05-21,,40000316,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-07-15,2024-08-13,Férias
2786753,UBS DR. ANTONIO P. F. VILALLOBO,ALEXA YERRINGTON,AGENTE COMUNITARIO DE SAUDE,2011-08-04,,40000318,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-27,2024-08-31,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,HEWIE SMEALL,AGENTE COMUNITARIO DE SAUDE,2001-09-01,,40000319,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Af.Previdência,2021-08-09,,Af.Previdência
2786753,UBS DR. ANTONIO P. F. VILALLOBO,CARLA FARNISH,AGENTE COMUNITARIO DE SAUDE,2013-05-16,,40000321,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-07-29,2024-08-07,Férias
2786753,UBS DR. ANTONIO P. F. VILALLOBO,SILE SCHWANDERMANN,AGENTE COMUNITARIO DE SAUDE,2002-11-25,,40000322,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-11,2024-08-17,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,ADOLPH TERREN,AGENTE COMUNITARIO DE SAUDE,2013-05-16,,40000325,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-27,2024-08-28,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,FAUSTINE BRYNING,AGENTE COMUNITARIO DE SAUDE,2003-02-03,,40000326,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-19,2024-08-19,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,IONA WALSTOW,AGENTE COMUNITARIO DE SAUDE,2013-05-16,,40000329,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-19,2024-08-19,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,LORAINE ARBLASTER,AGENTE COMUNITARIO DE SAUDE,2014-12-08,,40000330,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-07,2024-09-05,Férias
2786753,UBS DR. ANTONIO P. F. VILALLOBO,MACKENZIE ALSTON,ENFERMEIRO ESF,2008-08-05,,40000340,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-08,2024-08-08,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,MIGUEL CRAIK,ENFERMEIRO ESF,2008-11-24,,40000341,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Af.Previdência,2024-07-08,,Af.Previdência
2786753,UBS DR. ANTONIO P. F. VILALLOBO,PRIS DEVIGNE,MEDICO GENERALISTA,2013-09-05,,40000344,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-01,2024-08-07,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,PRIS DEVIGNE,MEDICO GENERALISTA,2013-09-05,,40000344,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-09,2024-08-16,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,PRIS DEVIGNE,MEDICO GENERALISTA,2013-09-05,,40000344,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-23,2024-08-23,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,PRIS DEVIGNE,MEDICO GENERALISTA,2013-09-05,,40000344,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-27,2024-08-27,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,PRIS DEVIGNE,MEDICO GENERALISTA,2013-09-05,,40000344,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-28,2024-08-30,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,BAXY GAUTREY,MEDICO GENERALISTA,2011-07-11,,40000345,SEG A QUI - 08:00 12:00 13:00 19:00,40,Ativo,2024-07-31,2024-08-29,Férias
2786753,UBS DR. ANTONIO P. F. VILALLOBO,BAXY GAUTREY,MEDICO GENERALISTA,2011-07-11,,40000345,SEG A QUI - 08:00 12:00 13:00 19:00,40,Ativo,2024-09-02,2024-09-03,Atestado
2788861,UBS VILA ESPERANCA - DR. CASSIO BITTENCOURT FILHO,RUBIE PALATINI,TECNICO DE ENFERMAGEM,2010-06-21,,40000368,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-15,2024-08-15,Atestado
2787806,EMAD JARDIM SAO NICOLAU,KILLIAN HAZLEGROVE,FISIOTERAPEUTA,2010-01-07,,40000388,12:45 - 16:00 - 16:15 - 19:00 (SEG. TER. QUI. E SEX.) 07:00 - 10:00 - 10:15 - 13:15 (QUA.),30,Ativo,2024-08-16,2024-08-17,Atestado
2786753,UBS DR. ANTONIO P. F. VILALLOBO,MARIANNE WEDLAKE,TECNICO DE ENFERMAGEM,2014-10-06,,40000393,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-07-22,2024-08-05,Férias
2786753,UBS DR. ANTONIO P. F. VILALLOBO,SHEFFIELD LONGBOTTOM,TECNICO DE ENFERMAGEM,2009-09-21,,40000394,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-07,2024-08-07,Atestado
2788926,UBS VILA GRANADA - DR ALFREDO FERREIRA PAULINO FILHO,MINERVA PANKS,AUXILIAR ADMINISTRATIVO,2010-04-12,,40000405,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-07-10,2024-08-08,Férias
7270941,UBS JARDIM MARINGA,ELAINA BRESMAN,TECNICO DE ENFERMAGEM,2016-01-04,,40000411,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-08-05,2024-08-24,Férias
2788926,UBS VILA GRANADA - DR ALFREDO FERREIRA PAULINO FILHO,ELNORE EDMEAD,AUXILIAR DE ENFERMAGEM,2010-12-14,,40000416,06:45 - 09:00 - 09:15 - 13:00 (SEG. A SEX.),30,Ativo,2024-08-28,2024-08-30,Atestado
2751933,HOSPITAL DIA PENHA,PETE SKOGGINS,TECNICO DE ENFERMAGEM,2013-12-16,,40000421,07:00 - 10:00 - 10:15 - 13:15 (SEG A DOM) - CONFORME ESCALA,36,Ativo,2024-07-31,2024-08-06,Atestado
2751933,HOSPITAL DIA PENHA,PETE SKOGGINS,TECNICO DE ENFERMAGEM,2013-12-16,,40000421,07:00 - 10:00 - 10:15 - 13:15 (SEG A DOM) - CONFORME ESCALA,36,Ativo,2024-08-15,2024-08-21,Atestado
2788926,UBS VILA GRANADA - DR ALFREDO FERREIRA PAULINO FILHO,JUDON GROMLEY,TECNICO FARMACIA,2009-06-04,,40000433,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-01,2024-08-30,Férias
2788888,UBS EMILIO SANTIAGO,PAULA WENHAM,AUXILIAR DE ENFERMAGEM,2015-09-01,,40000452,06:30 - 10:00 - 10:15 - 12:45 (SEG A SEX),30,Ativo,2024-07-10,2024-08-08,Férias
2787806,UBS JARDIM SAO NICOLAU,MADONNA NOWICK,DENTISTA CLINICO,2012-02-15,,40000457,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-06,2024-08-08,Atestado
2787806,UBS JARDIM SAO NICOLAU,MADONNA NOWICK,DENTISTA CLINICO,2012-02-15,,40000457,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-30,2024-08-30,Atestado
2786729,UBS A. E. DE CARVALHO,VIRGIL D'ELIA,ENFERMEIRO ESF,2014-10-13,,40000458,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-09-04,2024-09-05,Atestado
2786923,UBS CIDADE PATRIARCA,SARETTE ANGIER,FARMACEUTICO,2008-10-15,,40000461,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-07-29,2024-08-01,Atestado
2786923,UBS CIDADE PATRIARCA,SARETTE ANGIER,FARMACEUTICO,2008-10-15,,40000461,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-02,2024-08-02,Atestado
2786923,UBS CIDADE PATRIARCA,SARETTE ANGIER,FARMACEUTICO,2008-10-15,,40000461,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-14,2024-09-12,Férias
2788721,UBS VILA ARICANDUVA,WARING DEL CASTELLO,AUXILIAR DE ENFERMAGEM,2010-12-13,,40000513,06:45 - 09:00 - 09:15 - 13:00 (SEG. A SEX.),30,Ativo,2024-08-07,2024-08-07,Atestado
2788721,UBS VILA ARICANDUVA,WARING DEL CASTELLO,AUXILIAR DE ENFERMAGEM,2010-12-13,,40000513,06:45 - 09:00 - 09:15 - 13:00 (SEG. A SEX.),30,Ativo,2024-08-08,2024-08-09,Atestado
2788721,UBS VILA ARICANDUVA,WARING DEL CASTELLO,AUXILIAR DE ENFERMAGEM,2010-12-13,,40000513,06:45 - 09:00 - 09:15 - 13:00 (SEG. A SEX.),30,Ativo,2024-09-02,2024-09-06,Atestado
2788721,UBS VILA ARICANDUVA,MAIRE JERRED,DENTISTA CLINICO,2009-08-19,,40000525,07:00 - 11:00 (SEG A SEX),20,Ativo,2024-08-05,2024-08-06,Atestado
2788721,UBS VILA ARICANDUVA,MAIRE JERRED,DENTISTA CLINICO,2009-08-19,,40000525,07:00 - 11:00 (SEG A SEX),20,Ativo,2024-08-07,2024-08-08,Atestado
2788721,UBS VILA ARICANDUVA,DIANNNE ABLEY,ENFERMEIRO,2013-11-11,,40000529,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,2024-07-22,2024-08-10,Férias
2786923,UBS CIDADE PATRIARCA,AUBRIE LE GALLE,MEDICO CLINICO GERAL,2013-03-04,,40000554,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),30,Ativo,2024-08-13,2024-08-16,Atestado
2786729,UBS A. E. DE CARVALHO,CALE PLAYFORD,AGENTE COMUNITARIO DE SAUDE,2009-03-16,,40000578,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-09-02,2024-09-02,Atestado
2786729,UBS A. E. DE CARVALHO,DORETTA CHILCOTT,AUXILIAR ADMINISTRATIVO,2013-05-02,,40000579,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,2024-08-04,2024-08-09,Atestado
2786729,UBS A. E. DE CARVALHO,DORETTA CHILCOTT,AUXILIAR ADMINISTRATIVO,2013-05-02,,40000579,06:30 - 11:00 - 12:00 - 15:30 (SEG A SEX),40,Ativo,2024-08-18,2024-08-20,Atestado
2029626,CAPS ADULTO III VILA MATILDE,MARYROSE HAYLOCK,AUXILIAR ADMINISTRATIVO,2016-05-02,,40000581,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-20,2024-08-21,Atestado
2789043,UBS VILA MATILDE,ELSET ROCCO,AUXILIAR DE ENFERMAGEM,2016-05-02,,40000595,07:00 - 10:00 - 10:15 - 13:15 (SEG A SEX),30,Ativo,2024-07-15,2024-08-13,Férias
6143180,AMA 24HS ENGENHEIRO GOULART - DR. JOSE PIRES,TYBI BLEZARD,AUXILIAR ADMINISTRATIVO,2016-05-01,,40000596,19:00 - 01:00 - 02:00 - 07:00 (12X36),36,Ativo,2024-09-04,2024-09-10,Atestado
6194990,UBS CHACARA CRUZEIRO DO SUL,RON DRURY,AUXILIAR ADMINISTRATIVO,2016-05-02,,40000609,07:00 - 11:00 - 12:00 - 16:00 (SEG A SEX),40,Ativo,2024-08-12,2024-08-13,Atestado
2752220,UBS ENGENHEIRO GOULART - DR. JOSE PIRES,NERISSA COTTERRILL,ASSISTENTE ADMINISTRATIVO,2016-08-01,,40000642,08:00 - 12:00 - 13:00 - 17:00 (SEG A SEX),40,Ativo,2024-08-28,2024-09-01,Atestado
2786729,UBS A. E. DE CARVALHO,CALE TRUITT,AUXILIAR ADMINISTRATIVO,2016-05-02,,40000673,10:00 - 13:00 - 14:00 - 19:00 (SEG A SEX),40,Ativo,2024-08-26,2024-08-30,Atestado
